State County Code,Workers 16 years and over,Car truck or van,Car truck or van-Drove alone,Car truck or van-Carpooled,Public transportation (excluding taxicab),Walked,Bicycle,Taxicab motorcycle or other means,Worked at home,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available
17093,64600,87.9,81.0,6.8,5.3,1.0,0.0,0.4,5.5,2.4,9.6,49.7,38.3
17097,358734,85.0,76.0,9.0,3.9,2.7,0.2,0.7,7.5,1.0,14.5,45.2,39.2
17099,49523,92.7,85.4,7.3,0.1,1.6,1.0,0.7,4.0,2.8,16.2,44.8,36.2
17111,159605,90.5,83.4,7.1,2.1,1.0,0.1,0.5,5.7,0.5,11.2,44.4,43.9
17113,91280,88.7,81.1,7.7,1.0,4.2,0.6,0.7,4.7,2.9,20.9,44.0,32.2
17115,45790,93.0,84.7,8.3,0.5,2.2,0.0,0.7,3.7,3.0,21.1,43.6,32.3
17119,122551,91.9,84.7,7.1,1.4,1.6,0.1,1.1,3.8,1.8,18.0,42.1,38.1
17143,81934,89.4,82.5,6.9,2.4,3.3,0.5,0.8,3.7,3.4,25.3,41.2,30.1
17161,66443,90.5,82.9,7.6,1.9,2.6,0.2,1.7,3.0,3.1,23.1,46.4,27.5
17163,122910,88.8,82.5,6.3,3.8,1.9,0.4,1.2,3.8,5.2,25.0,39.1,30.8
17167,92109,90.9,82.4,8.5,1.3,1.8,0.5,1.2,4.2,2.3,24.9,42.2,30.6
17179,64185,94.7,86.8,7.8,0.3,0.9,0.1,1.2,2.9,1.5,18.3,48.3,32.0
17183,30520,91.6,86.5,5.0,0.5,2.2,0.3,0.6,4.9,3.0,17.8,48.5,30.8
17197,340445,89.8,84.0,5.8,3.8,0.9,0.1,1.1,4.4,1.2,11.9,43.6,43.3
17199,N,N,N,N,N,N,N,N,N,2.2,19.6,43.0,35.1
17201,129599,92.3,81.5,10.8,1.4,1.4,0.2,1.0,3.8,3.2,22.5,46.1,28.2
18003,174769,93.0,83.6,9.5,0.8,0.9,0.2,0.4,4.6,2.3,21.8,43.3,32.6
18005,N,N,N,N,N,N,N,N,N,0.9,24.2,35.0,39.9
18019,N,N,N,N,N,N,N,N,N,2.3,21.0,41.2,35.5
18035,49194,88.4,81.4,7.0,1.3,6.3,0.5,0.7,2.8,3.9,25.0,42.5,28.5
18039,93723,92.1,78.6,13.4,0.6,2.0,1.4,1.4,2.6,3.9,17.5,44.3,34.3
18043,N,N,N,N,N,N,N,N,N,0.5,19.3,41.2,39.0
18053,27220,88.3,80.9,7.4,0.1,5.1,0.2,0.0,6.3,1.0,21.3,42.6,35.1
18057,169312,89.9,84.1,5.8,0.1,0.6,0.1,0.4,8.9,1.1,15.1,50.2,33.6
18059,N,N,N,N,N,N,N,N,N,1.3,15.2,39.7,43.8
18063,81283,92.4,88.3,4.1,0.0,1.1,0.0,1.4,5.1,0.9,13.7,44.1,41.3
18067,35910,93.1,82.9,10.3,0.0,1.6,0.0,1.6,3.6,3.5,19.5,44.1,32.9
18081,76871,91.9,83.1,8.8,0.6,1.8,0.2,0.5,5.0,1.1,16.0,46.4,36.5
18085,37200,94.1,79.8,14.3,0.0,1.3,1.5,0.9,2.2,6.7,16.0,41.6,35.7
18089,215882,91.3,82.5,8.8,3.4,1.4,0.2,1.3,2.5,2.0,21.7,42.2,34.0
18091,47937,90.4,82.5,7.9,0.4,2.0,0.2,2.1,5.0,2.1,17.6,41.8,38.4
18095,56855,92.3,82.5,9.8,0.0,3.1,0.4,0.8,3.4,1.8,18.6,43.0,36.6
18097,454130,92.3,84.0,8.3,1.4,1.7,0.5,0.9,3.1,3.3,26.4,43.8,26.5
18105,71162,84.2,74.0,10.3,2.8,8.1,1.3,0.8,2.8,4.5,21.3,40.1,34.2
18109,33739,92.6,83.3,9.3,0.3,2.1,0.0,1.2,3.9,1.3,13.6,39.1,46.0
18127,78978,92.8,87.8,5.0,0.9,1.8,0.1,1.1,3.4,0.6,14.7,45.4,39.3
18141,120678,89.6,82.4,7.2,1.8,3.4,0.6,0.6,3.9,3.6,23.0,41.6,31.8
18157,89138,86.8,76.9,9.9,3.6,5.4,1.3,0.5,2.5,2.4,25.1,44.7,27.8
18163,88298,91.8,83.9,7.9,2.6,3.1,0.2,0.5,1.9,5.1,24.3,41.5,29.1
18167,48424,89.3,81.5,7.8,0.8,3.6,0.6,1.5,4.3,2.4,21.8,44.8,31.0
18177,29356,91.4,84.2,7.2,0.1,1.4,0.7,2.3,4.0,3.3,19.8,43.5,33.5
19013,69588,90.9,81.3,9.5,0.6,4.5,0.2,0.7,3.1,1.8,19.9,40.5,37.8
19049,43960,92.1,81.6,10.5,0.8,0.7,0.0,0.4,6.1,1.3,14.9,49.5,34.4
19061,51196,89.8,80.9,8.9,1.0,5.0,0.3,1.1,2.8,1.3,18.7,43.2,36.7
19103,80356,75.5,66.7,8.8,5.7,10.6,1.8,1.4,4.9,3.9,20.6,42.3,33.2
19113,116401,92.6,83.5,9.1,0.7,2.0,0.3,1.0,3.4,1.4,19.5,45.0,34.1
19153,248427,91.8,84.6,7.2,1.5,2.0,0.2,0.8,3.7,1.7,18.5,45.8,34.0
19155,47255,93.5,86.6,6.9,0.5,1.9,0.2,0.9,3.0,1.1,17.0,42.2,39.6
19163,81537,92.4,87.5,4.9,0.7,1.7,0.3,0.8,4.1,1.9,18.7,46.1,33.3
19169,53288,78.3,71.7,6.5,5.0,7.3,1.8,0.2,7.5,3.5,18.7,39.9,37.9
19193,50631,91.2,81.3,9.9,1.2,2.5,0.0,0.8,4.3,2.0,20.6,38.7,38.7
20015,31517,91.2,80.0,11.1,0.0,1.8,0.3,1.4,5.3,2.0,11.8,41.0,45.2
20045,68346,89.1,82.1,7.0,2.1,4.4,0.5,1.2,2.8,1.8,23.7,40.9,33.6
20091,313189,90.6,83.8,6.8,0.3,1.3,0.2,0.8,6.9,1.1,15.8,48.9,34.2
20103,N,N,N,N,N,N,N,N,N,1.3,14.1,39.3,45.2
20161,40171,83.0,72.9,10.1,0.5,10.0,1.3,1.6,3.6,3.5,16.6,45.1,34.9
20173,247439,93.0,84.3,8.8,0.6,1.6,0.5,1.0,3.4,1.8,19.9,41.1,37.2
20177,85531,92.3,81.2,11.1,1.4,2.5,0.0,1.1,2.7,3.3,21.1,41.1,34.5
20209,74861,94.4,83.3,11.2,1.0,1.0,0.0,0.4,3.1,3.2,25.2,38.1,33.6
21015,64766,91.4,83.0,8.4,1.6,0.6,0.2,0.7,5.6,0.7,18.2,42.6,38.5
21029,N,N,N,N,N,N,N,N,N,0.9,12.3,41.8,45.0
21037,46002,88.2,77.4,10.8,1.2,3.5,0.3,1.2,5.6,3.7,21.9,40.0,34.4
21047,N,N,N,N,N,N,N,N,N,3.1,24.1,52.8,20.1
21059,43812,93.0,83.1,9.9,1.4,1.6,0.8,0.9,2.4,3.5,15.7,44.4,36.5
21067,163706,87.0,78.5,8.5,2.0,4.0,0.3,2.0,4.7,3.2,25.1,44.1,27.7
21093,49845,94.1,84.4,9.6,0.0,1.1,0.0,1.4,3.4,1.6,14.9,42.8,40.8
21111,374663,89.3,80.8,8.5,2.6,1.9,0.3,1.4,4.3,4.1,25.4,42.4,28.1
21117,85353,89.5,80.8,8.7,2.9,1.9,0.5,1.5,3.7,3.0,17.9,45.7,33.4
21145,N,N,N,N,N,N,N,N,N,1.8,20.5,48.5,29.2
21151,39598,90.5,85.9,4.6,0.0,4.4,0.5,1.5,3.1,1.1,19.2,44.9,34.7
21185,30962,91.1,85.4,5.7,0.5,1.0,0.3,1.6,5.5,1.0,11.3,46.7,41.1
21227,60078,93.8,81.7,12.1,0.1,2.6,0.2,1.4,1.9,1.9,25.2,38.0,34.9
22005,N,N,N,N,N,N,N,N,N,1.3,18.0,46.1,34.6
22015,57901,95.3,90.0,5.3,0.1,1.3,0.0,0.1,3.2,1.1,18.6,52.8,27.5
22017,104119,93.9,87.0,6.9,1.5,1.5,0.3,0.3,2.4,3.2,26.7,42.3,27.9
22019,85069,95.0,88.1,6.9,0.5,1.0,0.4,1.0,2.1,2.7,23.2,41.6,32.6
22033,213315,93.5,84.3,9.2,1.5,1.6,0.2,0.6,2.6,2.5,25.4,42.0,30.1
22045,N,N,N,N,N,N,N,N,N,4.5,16.5,49.0,29.9
22051,207196,93.2,81.1,12.1,0.9,1.4,0.1,1.0,3.5,2.9,24.0,45.2,27.8
22055,117645,91.8,84.9,6.9,0.9,1.8,1.0,1.4,3.1,2.7,23.9,46.3,27.1
22057,41550,92.0,81.1,10.9,0.4,0.6,0.2,4.4,2.5,1.2,24.8,41.6,32.5
22063,N,N,N,N,N,N,N,N,N,1.2,25.0,39.7,34.1
22071,179290,77.1,67.4,9.7,7.3,4.9,3.3,1.7,5.7,10.3,33.3,39.0,17.3
22073,60984,94.4,84.4,10.0,2.1,1.0,0.0,0.7,1.7,4.4,25.5,42.7,27.5
22079,55234,91.6,81.4,10.3,1.4,1.9,0.1,2.5,2.4,5.5,24.0,40.0,30.4
22097,N,N,N,N,N,N,N,N,N,3.0,25.5,41.4,30.1
22103,116934,91.8,81.5,10.3,0.1,0.6,0.1,2.0,5.4,2.0,18.8,45.7,33.5
22105,55265,93.2,83.0,10.2,0.0,1.5,0.6,2.1,2.7,2.0,18.1,42.0,37.9
22109,46610,87.6,79.0,8.6,0.2,1.6,1.1,3.0,6.5,3.8,20.8,41.4,34.1
23001,52745,90.1,80.4,9.6,0.2,4.6,0.0,0.7,4.4,3.2,24.2,42.2,30.5
23003,28805,87.8,78.5,9.2,0.1,5.8,0.1,1.3,4.9,3.1,18.3,41.4,37.2
23005,157238,84.4,78.0,6.4,1.5,5.2,1.3,0.4,7.2,3.2,20.4,46.0,30.4
23011,55361,89.8,81.5,8.3,0.0,4.5,0.0,0.6,5.1,2.4,18.7,43.8,35.1
23019,71363,90.7,79.5,11.3,0.3,3.0,0.2,1.1,4.6,2.0,20.9,45.1,32.0
23031,101875,91.1,80.6,10.5,1.0,2.0,0.2,1.2,4.5,2.4,18.2,44.7,34.8
24001,27510,90.3,78.7,11.6,0.4,5.4,0.0,1.4,2.5,4.0,22.2,40.3,33.4
24003,299507,88.1,80.4,7.7,3.8,1.9,0.4,0.8,5.1,1.2,15.3,45.2,38.3
24005,417308,88.0,79.4,8.6,4.4,1.9,0.1,1.5,4.2,3.1,21.2,45.1,30.6
24009,N,N,N,N,N,N,N,N,N,1.0,9.0,31.2,58.8
24013,85994,92.0,85.4,6.6,0.5,1.1,0.3,0.5,5.6,1.4,10.4,33.5,54.6
24015,51725,91.8,82.9,8.8,1.2,0.8,0.1,2.2,3.9,0.8,14.2,36.1,48.9
24017,80184,89.9,83.1,6.8,5.4,1.6,0.0,0.8,2.2,0.8,15.1,35.1,49.0
24021,131298,86.4,76.7,9.7,2.4,2.2,0.2,1.6,7.1,2.3,13.7,41.8,42.3
24025,126879,92.0,83.5,8.5,1.4,1.4,0.1,0.4,4.8,0.8,13.2,44.5,41.4
24027,172520,89.4,81.8,7.6,3.0,0.8,0.1,0.9,5.8,1.3,14.7,45.9,38.1
24031,552762,74.2,65.3,8.9,15.5,2.5,0.5,1.1,6.2,3.9,22.6,43.4,30.0
24033,476266,77.4,66.5,10.8,15.6,1.8,0.2,1.8,3.3,5.3,25.8,34.3,34.7
24037,55396,93.3,79.8,13.5,0.9,3.3,0.1,0.2,2.1,2.1,19.5,35.3,43.1
24043,65882,91.4,82.3,9.2,1.3,1.9,0.1,1.2,4.1,2.5,20.0,39.1,38.4
24045,47621,94.1,84.8,9.4,0.3,2.0,0.1,0.7,2.9,1.5,22.7,39.7,36.2
24510,280107,68.9,59.5,9.4,17.3,6.7,1.0,1.3,4.8,14.5,37.8,33.2,14.5
25001,100746,86.6,80.5,6.1,1.5,2.7,0.8,0.8,7.6,1.4,18.5,43.5,36.6
25003,63525,83.9,78.4,5.5,1.6,7.7,0.0,0.8,6.0,2.6,27.1,44.2,26.1
25005,278195,90.2,82.0,8.2,2.7,3.1,0.1,0.5,3.4,3.6,19.2,41.1,36.1
25009,390959,83.0,73.1,9.9,5.6,3.2,0.2,2.6,5.5,4.0,20.9,45.0,30.0
25011,37008,88.2,77.1,11.1,1.8,4.1,0.3,0.4,5.3,2.5,21.4,45.9,30.1
25013,215032,89.7,81.1,8.6,1.9,2.7,0.5,1.4,3.8,5.1,24.4,41.8,28.7
25015,80837,78.8,71.7,7.1,2.1,9.0,1.4,0.9,7.8,4.0,19.3,42.6,34.2
25017,869832,74.3,67.3,6.9,12.4,5.0,1.5,1.1,5.8,5.7,23.0,44.1,27.2
25021,355631,75.3,68.5,6.8,13.9,3.7,0.7,1.0,5.4,4.2,20.7,45.5,29.7
25023,263465,86.8,79.2,7.7,5.9,1.3,0.1,0.8,5.1,1.7,16.8,44.4,37.1
25025,419887,48.4,41.3,7.0,32.2,12.3,2.2,2.0,2.9,21.9,40.6,27.1,10.5
25027,414883,87.1,79.3,7.8,2.0,3.1,0.2,1.6,6.1,2.8,19.9,43.6,33.7
26005,55045,93.2,86.8,6.5,0.4,1.8,0.2,0.5,3.8,1.0,14.8,44.0,40.2
26017,46410,91.1,85.0,6.1,0.1,1.5,0.1,1.1,6.1,1.8,19.2,45.3,33.6
26021,69916,91.1,79.7,11.4,0.5,3.4,0.5,1.0,3.5,2.0,21.1,46.9,30.0
26025,58005,93.6,85.1,8.5,1.0,1.9,0.2,0.9,2.4,4.4,19.7,43.0,32.9
26037,37450,90.6,83.7,6.8,0.9,1.9,0.1,0.8,5.8,1.9,12.2,44.9,41.1
26045,51337,93.8,84.4,9.4,0.9,1.2,0.4,0.9,2.7,2.5,19.1,41.8,36.7
26049,163167,93.5,83.9,9.6,1.2,1.1,0.1,0.4,3.7,3.0,22.2,41.5,33.3
26055,45182,89.6,79.8,9.8,0.7,1.9,0.8,0.1,6.9,1.0,19.4,47.5,32.0
26065,137228,86.6,77.4,9.2,3.5,3.3,2.1,0.4,4.1,4.4,23.7,45.4,26.5
26073,33092,83.7,75.4,8.3,0.6,7.4,1.9,0.9,5.6,2.7,19.2,42.2,35.9
26075,66887,93.2,81.7,11.5,0.8,2.2,0.2,0.5,3.1,3.3,20.2,42.8,33.7
26077,130545,89.0,81.5,7.6,1.9,3.1,0.4,1.2,4.4,3.4,21.2,43.1,32.3
26081,322796,89.8,81.4,8.5,2.4,1.9,0.6,0.6,4.7,2.5,19.5,43.7,34.2
26087,37907,93.8,86.8,7.0,0.0,1.1,0.0,1.5,3.6,1.7,13.7,40.6,44.0
26091,44423,94.1,83.2,10.9,0.1,1.8,1.0,0.4,2.6,1.8,19.2,43.6,35.3
26093,95828,94.0,87.2,6.8,0.5,0.3,0.3,0.9,4.1,1.1,10.6,41.8,46.5
26099,409482,95.1,87.9,7.2,0.8,0.9,0.1,0.6,2.6,1.8,18.8,44.2,35.1
26103,29677,87.4,78.5,8.9,0.4,6.2,0.2,1.1,4.8,0.8,16.9,47.9,34.4
26111,38281,93.2,84.4,8.9,1.8,0.7,0.2,0.5,3.5,1.8,17.8,48.2,32.2
26115,68142,94.5,87.6,6.8,0.0,0.8,0.1,0.8,3.8,1.2,13.8,40.4,44.6
26121,72824,94.5,81.6,13.0,0.5,1.1,0.4,0.5,2.9,4.0,20.3,40.5,35.1
26125,628582,92.9,85.8,7.1,0.6,0.9,0.2,0.5,4.8,1.5,20.0,45.3,33.2
26139,141046,90.1,81.1,9.0,1.0,3.6,1.0,0.7,3.5,2.3,12.6,44.6,40.5
26145,82060,94.9,85.0,9.9,0.1,1.6,0.3,0.6,2.5,1.7,20.8,43.4,34.2
26147,70646,94.4,82.5,11.9,0.6,1.5,0.4,0.9,2.2,1.9,20.5,39.5,38.2
26155,30307,89.4,81.4,8.0,0.1,2.0,0.0,0.9,7.6,0.8,17.8,43.5,37.9
26159,33400,92.1,81.1,11.0,0.0,3.9,0.1,0.3,3.7,1.0,21.5,39.3,38.2
26161,181547,80.7,72.4,8.4,4.8,6.2,1.5,0.6,6.0,3.8,23.0,44.4,28.8
26163,721490,90.1,80.6,9.5,3.1,1.9,0.5,1.1,3.3,5.0,26.7,41.6,26.8
27003,186132,88.9,81.1,7.8,3.7,1.2,0.3,0.6,5.3,1.6,12.8,46.0,39.7
27013,36293,88.8,78.5,10.4,1.7,2.9,0.5,0.4,5.7,2.5,14.0,46.9,36.5
27019,55934,90.2,82.7,7.5,2.8,0.3,0.2,0.9,5.6,0.6,10.0,46.3,43.1
27037,232206,89.2,80.0,9.2,3.0,1.2,0.2,0.7,5.6,1.3,15.2,47.9,35.6
27053,669546,80.6,72.4,8.1,7.5,3.3,1.5,1.0,6.1,4.3,24.0,46.1,25.7
27109,79839,85.0,73.7,11.3,4.6,4.5,1.0,0.7,4.2,2.5,17.2,50.5,29.8
27123,274046,83.5,74.2,9.3,6.5,2.3,0.9,1.0,5.6,3.5,24.3,43.4,28.8
27131,33670,79.4,73.9,5.5,0.1,3.0,0.8,0.6,16.1,0.9,13.1,43.2,42.8
27137,95257,88.2,79.1,9.1,2.2,4.6,0.6,0.3,4.1,2.6,18.0,40.0,39.4
27139,78293,90.2,83.1,7.0,2.3,0.8,0.0,0.3,6.4,1.1,10.1,48.3,40.5
27141,N,N,N,N,N,N,N,N,N,0.8,6.3,39.7,53.2
27145,82451,86.8,79.0,7.8,1.8,4.1,0.2,1.2,6.0,1.1,16.0,41.3,41.6
27163,132826,90.7,83.3,7.4,1.7,1.2,0.2,0.6,5.6,0.4,13.3,46.4,39.8
27171,68966,92.3,86.1,6.2,0.6,1.3,0.3,0.9,4.5,1.6,8.0,47.0,43.4
28033,N,N,N,N,N,N,N,N,N,1.3,15.9,46.8,36.0
28035,33084,89.5,79.0,10.5,0.0,0.7,0.0,8.5,1.3,1.4,24.7,40.1,33.8
28047,89373,89.6,81.9,7.8,0.7,4.7,0.4,1.8,2.6,3.2,23.2,40.3,33.3
28049,105369,95.6,84.4,11.2,0.5,1.6,0.2,0.6,1.4,2.3,22.2,41.3,34.2
28059,N,N,N,N,N,N,N,N,N,0.7,16.5,45.5,37.4
28067,N,N,N,N,N,N,N,N,N,2.5,19.9,31.8,45.8
28075,N,N,N,N,N,N,N,N,N,1.9,18.5,43.6,36.0
28081,N,N,N,N,N,N,N,N,N,2.7,17.0,46.2,34.0
28089,N,N,N,N,N,N,N,N,N,0.5,20.9,41.4,37.2
28121,72784,95.6,84.9,10.6,0.0,1.2,0.0,0.5,2.7,0.2,13.7,46.2,40.0
29019,91173,90.1,79.8,10.2,0.4,3.6,1.0,0.6,4.3,1.3,22.8,44.9,31.0
29021,39510,95.4,85.0,10.4,0.1,2.1,0.0,0.8,1.6,1.0,21.8,41.3,36.0
29031,N,N,N,N,N,N,N,N,N,1.4,18.4,45.7,34.5
29037,50899,94.9,87.4,7.5,0.1,0.5,0.2,0.4,3.9,1.2,12.1,46.1,40.6
29043,N,N,N,N,N,N,N,N,N,0.0,14.8,39.1,46.1
29047,124791,92.1,85.1,7.0,0.2,1.5,0.1,1.3,4.8,2.5,16.7,45.7,35.1
29051,N,N,N,N,N,N,N,N,N,2.5,15.0,45.7,36.8
29071,N,N,N,N,N,N,N,N,N,1.8,16.2,37.0,45.1
29077,136067,90.3,81.2,9.0,0.6,1.8,0.7,1.1,5.5,2.1,20.4,47.5,30.1
29095,340746,90.9,83.3,7.6,2.1,1.3,0.2,0.8,4.7,3.7,26.2,40.6,29.6
29097,55346,94.1,83.3,10.7,0.2,1.3,0.2,1.6,2.7,2.1,22.9,47.8,27.2
29099,108379,94.7,86.5,8.2,0.1,0.4,0.0,0.4,4.3,1.7,14.6,38.3,45.4
29165,52797,92.1,84.4,7.7,0.9,0.6,0.1,0.0,6.4,1.8,15.7,41.9,40.6
29183,208801,91.5,85.4,6.2,0.1,0.5,0.1,0.5,7.2,0.9,12.6,43.2,43.4
29187,N,N,N,N,N,N,N,N,N,1.5,14.7,39.7,44.0
29189,489471,89.2,82.7,6.5,2.8,1.6,0.2,0.9,5.4,2.6,21.9,45.0,30.5
29510,154875,80.0,70.6,9.4,9.9,4.1,0.8,1.1,4.2,8.1,37.8,37.8,16.3
30013,37667,94.6,86.7,7.9,0.9,2.1,0.2,0.2,2.1,3.0,19.1,38.4,39.5
30029,45427,89.3,79.6,9.7,0.1,2.2,0.2,1.0,7.3,1.1,15.1,39.9,43.8
30031,59066,80.1,72.8,7.3,0.5,7.0,2.6,0.7,9.2,1.2,12.9,38.7,47.2
30049,33981,87.4,78.8,8.5,0.3,4.6,1.3,0.9,5.6,2.8,17.6,41.4,38.2
30063,62094,80.7,71.2,9.5,2.4,5.2,4.9,0.8,6.1,3.5,17.8,39.7,39.0
30111,79052,91.6,83.6,7.9,0.3,2.8,0.4,1.2,3.7,2.2,16.7,40.2,40.9
31055,281314,90.9,83.0,8.0,1.2,1.6,0.4,1.2,4.6,2.5,22.2,45.4,29.9
31109,168979,89.9,80.4,9.5,1.0,3.1,1.4,0.8,3.7,2.0,20.9,42.8,34.4
31153,96678,95.3,88.5,6.8,0.2,0.7,0.1,0.9,2.8,1.2,15.3,45.5,38.0
32003,994483,89.3,79.4,9.9,3.7,1.2,0.3,1.5,4.0,4.3,22.8,41.4,31.5
32031,224665,88.1,77.9,10.2,2.3,3.1,0.6,1.2,4.7,4.1,18.9,37.4,39.7
