State County Code,TEMP
01001,66.1
01003,68.9
01005,66.9
01007,64.6
01009,63.9
01011,66.8
01013,66.5
01015,64.4
01017,63.8
01019,63.5
01021,64.1
01023,66.3
01025,66.9
01027,63.3
01029,63.5
01031,67.2
01033,62.4
01035,66.9
01037,64.4
01039,67.0
01041,66.4
01043,63.0
01045,67.6
01047,66.5
01049,61.8
01051,66.4
01053,67.6
01055,64.0
01057,64.2
01059,62.2
01061,67.9
01063,65.6
01065,65.5
01067,67.7
01069,68.2
01071,61.9
01073,64.6
01075,64.5
01077,62.2
01079,62.2
01081,64.9
01083,62.9
01085,67.2
01087,66.4
01089,63.0
01091,66.1
01093,62.8
01095,63.2
01097,68.5
01099,67.2
01101,67.5
01103,62.9
01105,65.6
01107,65.3
01109,66.7
01111,63.2
01113,65.8
01115,64.4
01117,64.4
01119,65.7
01121,64.4
01123,64.4
01125,65.1
01127,63.9
01129,67.3
01131,66.8
01133,62.3
04001,52.1
04003,62.6
04005,54.4
04007,61.7
04009,62.6
04011,58.1
04012,73.6
04013,72.7
04015,64.1
04017,53.6
04019,69.5
04021,70.7
04023,62.3
04025,61.2
04027,74.4
05001,64.6
05003,65.9
05005,59.7
05007,60.0
05009,59.0
05011,65.5
05013,64.9
05015,59.2
05017,65.8
05019,64.1
05021,61.1
05023,61.5
05025,64.3
05027,65.3
05029,62.4
05031,62.2
05033,61.8
05035,63.9
05037,63.2
05039,63.9
05041,64.8
05043,65.3
05045,62.9
05047,61.5
05049,59.9
05051,63.0
05053,63.8
05055,61.5
05057,64.5
05059,63.6
05061,63.8
05063,61.4
05065,60.1
05067,62.2
05069,64.1
05071,60.8
05073,65.8
05075,61.3
05077,64.0
05079,64.7
05081,65.4
05083,62.3
05085,63.8
05087,58.6
05089,59.4
05091,66.0
05093,63.1
05095,64.0
05097,62.7
05099,64.5
05101,58.7
05103,64.7
05105,63.1
05107,64.5
05109,63.3
05111,62.8
05113,62.2
05115,61.2
05117,63.6
05119,63.7
05121,60.5
05123,63.6
05125,63.2
05127,62.3
05129,59.4
05131,63.0
05133,64.7
05135,60.5
05137,60.1
05139,65.6
05141,60.5
05143,59.5
05145,62.7
05147,62.9
05149,62.9
06001,60.4
06003,45.9
06005,59.2
06007,60.8
06009,59.5
06011,62.5
06013,61.2
06015,52.9
06017,55.3
06019,57.3
06021,61.1
06023,55.8
06025,75.5
06027,62.3
06029,63.6
06031,65.7
06033,58.0
06035,48.5
06037,63.7
06039,57.9
06041,57.1
06043,56.9
06045,56.6
06047,64.0
06049,48.4
06051,46.3
06053,60.0
06055,60.4
06057,53.4
06059,66.1
06061,54.9
06063,48.9
06065,70.1
06067,63.5
06069,60.4
06071,68.1
06073,64.8
06075,58.3
06077,63.3
06079,61.1
06081,58.2
06083,60.4
06085,59.9
06087,58.9
06089,56.3
06091,48.6
06093,50.1
06095,61.9
06097,58.2
06099,63.2
06101,64.3
06103,59.7
06105,54.0
06107,55.8
06109,51.8
06111,59.6
06113,63.1
06115,61.8
08001,51.1
08003,44.0
08005,50.4
08007,45.0
08009,55.2
08011,55.8
08013,46.4
08014,52.4
08015,39.7
08017,53.1
08019,39.1
08021,41.7
08023,43.6
08025,54.2
08027,43.1
08029,48.1
08031,52.3
08033,44.5
08035,48.5
08037,40.9
08039,49.0
08041,49.7
08043,47.1
08045,44.7
08047,41.0
08049,38.7
08051,39.2
08053,37.4
08055,48.6
08057,38.2
08059,47.8
08061,54.3
08063,53.0
08065,36.1
08067,46.4
08069,44.1
08071,52.9
08073,51.2
08075,51.4
08077,48.6
08079,37.9
08081,45.1
08083,50.0
08085,48.9
08087,52.0
08089,55.6
08091,42.9
08093,39.8
08095,51.8
08097,39.2
08099,55.7
08101,54.5
08103,45.5
08105,41.2
08107,41.2
08109,40.5
08111,36.6
08113,46.1
08115,51.7
08117,37.3
08119,41.7
08121,51.7
08123,50.4
08125,53.1
09001,53.0
09003,52.0
09005,49.8
09007,52.6
09009,52.7
09011,52.5
09013,51.2
09015,51.2
10001,57.3
10003,56.5
10005,57.8
12001,70.7
12003,70.0
12005,69.6
12007,70.3
12009,73.6
12011,76.7
12013,69.0
12015,74.8
12017,71.9
12019,70.9
12021,75.9
12023,69.6
12027,74.0
12029,70.6
12031,70.6
12033,69.2
12035,72.0
12037,69.7
12039,69.2
12041,70.5
12043,75.1
12045,69.5
12047,68.9
12049,73.7
12051,75.7
12053,72.2
12055,74.3
12057,73.7
12059,68.3
12061,74.2
12063,68.7
12065,69.5
12067,69.7
12069,72.9
12071,75.4
12073,69.7
12075,71.7
12077,69.3
12079,69.2
12081,73.8
12083,71.7
12085,75.6
12086,77.3
12087,77.6
12089,70.1
12091,68.7
12093,74.6
12095,73.7
12097,74.1
12099,76.1
12101,72.7
12103,74.4
12105,73.9
12107,71.4
12109,71.5
12111,74.9
12113,68.7
12115,73.9
12117,73.5
12119,72.3
12121,69.5
12123,70.0
12125,70.0
12127,72.8
12129,70.1
12131,68.8
12133,68.7
13001,67.9
13003,68.1
13005,68.0
13007,67.6
13009,66.0
13011,63.1
13013,63.4
13015,62.3
13017,67.8
13019,67.7
13021,66.0
13023,67.3
13025,69.3
13027,68.1
13029,68.3
13031,67.1
13033,66.0
13035,64.8
13037,67.5
13039,69.8
13043,67.0
13045,63.3
13047,62.1
13049,69.9
13051,68.6
13053,65.6
13055,62.1
13057,61.7
13059,63.8
13061,67.5
13063,64.2
13065,69.1
13067,63.0
13069,67.8
13071,67.2
13073,65.4
13075,67.6
13077,63.8
13079,65.5
13081,67.5
13083,61.0
13085,60.4
13087,68.3
13089,63.7
13091,68.0
13093,67.2
13095,67.7
13097,63.4
13099,67.9
13101,68.7
13103,67.5
13105,63.8
13107,66.6
13109,67.6
13111,57.8
13113,64.1
13115,62.8
13117,61.7
13119,63.3
13121,63.4
13123,58.9
13125,65.1
13127,69.6
13129,61.9
13131,67.9
13133,64.4
13135,62.9
13137,60.8
13139,62.1
13141,65.1
13143,62.9
13145,64.4
13147,63.4
13149,63.7
13151,64.4
13153,66.8
13155,67.6
13157,63.5
13159,65.0
13161,67.6
13163,65.5
13165,66.2
13167,66.5
13169,65.6
13171,64.6
13173,68.0
13175,67.5
13177,67.4
13179,68.6
13181,64.7
13183,68.6
13185,68.2
13187,59.5
13189,64.8
13191,69.4
13193,66.3
13195,63.4
13197,65.3
13199,63.9
13201,67.8
13205,67.2
13207,65.1
13209,67.6
13211,64.5
13213,61.3
13215,65.4
13217,64.3
13219,64.0
13221,63.8
13223,62.9
13225,66.1
13227,60.4
13229,68.9
13231,64.3
13233,63.4
13235,67.6
13237,65.2
13239,66.9
13241,58.7
13243,66.9
13245,66.1
13247,64.1
13249,65.8
13251,66.4
13253,68.5
13255,64.5
13257,62.8
13259,66.0
13261,66.7
13263,64.7
13265,64.3
13267,67.8
13269,65.3
13271,68.0
13273,67.0
13275,67.8
13277,67.3
13279,67.5
13281,57.4
13283,67.3
13285,64.0
13287,67.3
13289,66.6
13291,57.4
13293,64.7
13295,61.5
13297,63.8
13299,69.3
13301,64.6
13303,66.0
13305,68.8
13307,66.0
13309,68.0
13311,59.7
13313,62.0
13315,67.9
13317,64.2
13319,66.6
13321,67.2
16001,53.0
16003,44.9
16005,46.6
16007,42.1
16009,47.6
16011,45.5
16013,43.5
16015,45.2
16017,45.6
16019,43.3
16021,43.4
16023,42.7
16025,42.8
16027,53.3
16029,43.3
16031,47.3
16033,41.6
16035,45.5
16037,39.5
16039,49.0
16041,46.1
16043,41.6
16045,50.3
16047,49.8
16049,43.6
16051,44.7
16053,50.1
16055,47.6
16057,48.2
16059,40.9
16061,46.7
16063,47.5
16065,43.9
16067,48.0
16069,50.2
16071,47.1
16073,49.0
16075,52.6
16077,46.6
16079,44.5
16081,41.7
16083,48.7
16085,41.0
16087,49.3
17001,55.3
17003,59.4
17005,56.8
17007,50.2
17009,55.1
17011,51.8
17013,57.0
17015,51.4
17017,55.2
17019,54.2
17021,55.3
17023,55.6
17025,56.7
17027,57.6
17029,55.1
17031,52.2
17033,56.1
17035,55.5
17037,51.0
17039,54.3
17041,54.9
17043,51.7
17045,54.8
17047,58.1
17049,55.8
17051,56.4
17053,53.5
17055,57.9
17057,53.9
17059,58.6
17061,56.3
17063,52.9
17065,58.3
17067,54.6
17069,58.6
17071,53.7
17073,52.6
17075,53.3
17077,58.1
17079,55.9
17081,57.4
17083,57.0
17085,50.4
17087,58.4
17089,51.0
17091,52.8
17093,52.1
17095,52.8
17097,50.7
17099,52.4
17101,56.6
17103,51.6
17105,53.5
17107,54.9
17109,54.0
17111,50.4
17113,54.0
17115,54.7
17117,56.1
17119,57.7
17121,56.7
17123,53.1
17125,54.9
17127,59.6
17129,55.3
17131,53.0
17133,59.0
17135,55.7
17137,55.7
17139,54.8
17141,51.2
17143,54.0
17145,57.8
17147,54.4
17149,56.1
17151,58.6
17153,59.4
17155,52.6
17157,58.4
17159,56.7
17161,52.8
17163,58.6
17165,58.1
17167,55.6
17169,54.4
17171,56.0
17173,55.3
17175,52.5
17177,50.6
17179,54.7
17181,58.4
17183,54.0
17185,57.6
17187,53.0
17189,57.5
17191,58.1
17193,58.7
17195,52.3
17197,52.4
17199,57.9
17201,50.5
17203,54.0
18001,52.7
18003,52.4
18005,55.6
18007,52.7
18009,53.5
18011,53.3
18013,55.0
18015,53.1
18017,52.9
18019,57.5
18021,55.3
18023,53.1
18025,57.0
18027,56.5
18029,55.7
18031,54.8
18033,51.7
18035,54.1
18037,57.0
18039,51.4
18041,54.0
18043,57.6
18045,53.8
18047,54.6
18049,52.3
18051,57.8
18053,53.2
18055,55.6
18057,53.7
18059,54.1
18061,57.6
18063,53.7
18065,53.5
18067,53.0
18069,52.4
18071,56.1
18073,52.5
18075,53.3
18077,56.8
18079,56.0
18081,54.6
18083,56.8
18085,51.8
18087,51.3
18089,52.4
18091,51.6
18093,55.7
18095,54.0
18097,54.2
18099,51.5
18101,56.2
18103,52.9
18105,54.9
18107,53.2
18109,54.5
18111,52.8
18113,51.5
18115,56.7
18117,56.4
18119,55.0
18121,54.5
18123,57.1
18125,57.1
18127,52.0
18129,58.6
18131,52.4
18133,53.9
18135,53.4
18137,55.2
18139,54.1
18141,51.1
18143,56.8
18145,54.9
18147,57.5
18149,51.9
18151,51.1
18153,56.0
18155,57.1
18157,53.0
18159,53.3
18161,54.2
18163,58.4
18165,54.8
18167,55.7
18169,52.6
18171,53.4
18173,57.8
18175,56.3
18177,53.6
18179,52.7
18181,52.7
18183,51.7
19001,51.6
19003,52.5
19005,48.6
19007,53.0
19009,50.7
19011,49.9
19013,49.5
19015,51.2
19017,49.1
19019,48.9
19021,49.5
19023,49.1
19025,50.2
19027,50.5
19029,51.9
19031,51.1
19033,48.4
19035,49.5
19037,48.0
19039,52.6
19041,49.0
19043,49.0
19045,51.8
19047,50.6
19049,52.3
19051,53.1
19053,53.2
19055,49.2
19057,53.1
19059,48.1
19061,49.7
19063,48.2
19065,48.5
19067,48.5
19069,48.9
19071,54.1
19073,51.1
19075,49.7
19077,51.3
19079,49.6
19081,48.2
19083,49.6
19085,52.3
19087,52.2
19089,47.1
19091,49.3
19093,50.0
19095,51.7
19097,51.0
19099,51.8
19101,52.1
19103,51.6
19105,50.8
19107,52.3
19109,48.7
19111,53.6
19113,50.5
19115,52.6
19117,52.4
19119,48.6
19121,52.5
19123,52.7
19125,52.4
19127,50.9
19129,53.6
19131,47.8
19133,51.4
19135,52.7
19137,53.1
19139,51.7
19141,48.8
19143,47.9
19145,53.7
19147,49.3
19149,50.0
19151,49.5
19153,52.4
19155,52.8
19157,51.3
19159,52.9
19161,50.0
19163,52.3
19165,51.3
19167,49.1
19169,51.1
19171,50.3
19173,53.2
19175,52.3
19177,52.8
19179,52.9
19181,52.9
19183,52.1
19185,52.6
19187,49.8
19189,47.7
19191,47.7
19193,50.9
19195,47.7
19197,48.8
20001,58.5
20003,58.0
20005,56.6
20007,59.2
20009,56.6
20011,59.1
20013,55.9
20015,58.7
20017,57.9
20019,59.4
20021,60.1
20023,53.6
20025,58.8
20027,57.3
20029,56.6
20031,58.7
20033,58.8
20035,59.5
20037,59.8
20039,54.3
20041,58.2
20043,56.2
20045,57.8
20047,57.0
20049,58.9
20051,56.5
20053,57.8
20055,56.6
20057,57.2
20059,58.0
20061,57.6
20063,55.6
20065,55.7
20067,57.0
20069,57.1
20071,54.5
20073,58.5
20075,56.5
20077,59.9
20079,58.9
20081,57.2
20083,57.1
20085,56.6
20087,57.1
20089,55.3
20091,57.4
20093,56.8
20095,58.7
20097,57.5
20099,60.0
20101,55.9
20103,57.3
20105,57.5
20107,58.2
20109,55.1
20111,58.0
20113,58.4
20115,58.7
20117,56.1
20119,58.5
20121,57.6
20123,56.3
20125,60.1
20127,57.7
20129,57.3
20131,55.6
20133,59.3
20135,56.5
20137,54.6
20139,58.4
20141,56.0
20143,57.8
20145,56.9
20147,55.0
20149,56.8
20151,57.6
20153,54.0
20155,58.2
20157,55.5
20159,57.6
20161,57.3
20163,55.9
20165,56.7
20167,57.1
20169,58.7
20171,55.8
20173,59.6
20175,58.1
20177,57.8
20179,55.2
20181,53.8
20183,54.8
20185,57.0
20187,56.9
20189,57.5
20191,60.3
20193,54.2
20195,56.0
20197,57.3
20199,54.3
20201,56.1
20203,55.3
20205,59.7
20207,59.1
20209,57.6
21001,58.1
21003,59.5
21005,57.5
21007,59.9
21009,59.3
21011,56.3
21013,56.2
21015,56.5
21017,56.8
21019,57.1
21021,57.0
21023,56.2
21025,57.7
21027,58.0
21029,58.2
21031,59.6
21033,59.1
21035,60.2
21037,56.3
21039,60.1
21041,57.8
21043,56.1
21045,56.9
21047,59.6
21049,57.0
21051,57.5
21053,58.7
21055,59.0
21057,59.3
21059,58.3
21061,59.5
21063,56.1
21065,57.4
21067,57.2
21069,55.9
21071,57.8
21073,57.6
21075,60.3
21077,57.6
21079,57.2
21081,56.9
21083,60.2
21085,58.8
21087,58.4
21089,56.4
21091,57.6
21093,58.0
21095,55.0
21097,56.9
21099,58.8
21101,58.6
21103,57.4
21105,60.1
21107,59.2
21109,56.6
21111,58.3
21113,57.4
21115,57.2
21117,56.2
21119,57.1
21121,57.4
21123,57.9
21125,57.2
21127,57.2
21129,57.5
21131,56.9
21133,56.1
21135,55.8
21137,56.7
21139,59.6
21141,59.8
21143,59.7
21145,60.1
21147,57.4
21149,59.0
21151,57.3
21153,57.1
21155,57.6
21157,60.4
21159,57.9
21161,56.0
21163,57.7
21165,56.2
21167,57.4
21169,58.4
21171,59.0
21173,56.6
21175,56.5
21177,59.3
21179,57.9
21181,56.4
21183,59.1
21185,57.4
21187,57.4
21189,57.7
21191,56.7
21193,57.2
21195,57.8
21197,57.0
21199,57.2
21201,56.4
21203,56.6
21205,55.5
21207,58.0
21209,57.2
21211,57.2
21213,59.8
21215,57.7
21217,57.7
21219,59.8
21221,59.8
21223,57.4
21225,58.8
21227,60.0
21229,57.5
21231,57.9
21233,59.0
21235,57.4
21237,56.9
21239,57.5
22001,69.9
22003,68.6
22005,69.9
22007,70.7
22009,68.6
22011,68.7
22013,67.2
22015,67.2
22017,67.5
22019,70.1
22021,67.0
22023,70.7
22025,67.6
22027,66.1
22029,67.7
22031,67.5
22033,69.1
22035,67.3
22037,68.3
22039,69.0
22041,67.6
22043,67.6
22045,70.3
22047,69.7
22049,67.0
22051,70.9
22053,69.7
22055,70.1
22057,71.2
22059,67.5
22061,66.7
22063,69.3
22065,68.4
22067,66.2
22069,68.0
22071,70.3
22073,66.3
22075,71.1
22077,68.9
22079,68.4
22081,67.7
22083,67.0
22085,67.7
22087,70.3
22089,70.9
22091,68.4
22093,70.4
22095,70.4
22097,69.3
22099,70.1
22101,70.9
22103,69.2
22105,68.9
22107,67.8
22109,71.8
22111,66.2
22113,70.7
22115,68.1
22117,68.3
22119,66.6
22121,69.3
22123,66.9
22125,68.3
22127,67.4
23001,46.7
23003,40.6
23005,47.0
23007,41.7
23009,46.1
23011,46.4
23013,46.4
23015,47.0
23017,43.8
23019,44.3
23021,41.4
23023,47.5
23025,41.7
23027,45.9
23029,45.5
23031,47.6
24001,53.5
24003,58.1
24005,55.8
24009,58.0
24011,57.4
24013,54.5
24015,56.0
24017,58.7
24019,58.3
24021,55.1
24023,49.8
24025,55.7
24027,55.8
24029,57.2
24031,56.3
24033,57.7
24035,57.3
24037,58.3
24039,59.2
24041,57.9
24043,54.8
24045,58.4
24047,58.6
24510,57.8
24511,58.0
25001,52.5
25003,47.5
25005,52.5
25007,52.8
25009,50.7
25011,48.8
25013,49.9
25015,49.4
25017,50.9
25019,52.5
25021,51.9
25023,52.5
25025,52.4
25027,49.7
26001,46.4
26003,43.5
26005,50.8
26007,46.9
26009,47.2
26011,48.5
26013,41.6
26015,50.1
26017,49.9
26019,47.7
26021,51.5
26023,50.8
26025,50.2
26027,51.0
26029,47.0
26031,45.9
26033,43.7
26035,47.8
26037,50.1
26039,46.1
26041,44.8
26043,43.5
26045,50.0
26047,46.1
26049,50.4
26051,48.7
26053,42.2
26055,47.8
26057,50.0
26059,50.4
26061,43.0
26063,48.2
26065,50.2
26067,49.9
26069,47.3
26071,41.8
26073,48.9
26075,50.3
26077,50.7
26079,46.7
26081,49.9
26083,42.6
26085,47.9
26087,49.9
26089,47.7
26091,51.3
26093,50.2
26095,42.8
26097,44.1
26099,51.5
26101,48.0
26103,42.3
26105,48.4
26107,48.0
26109,45.3
26111,49.9
26113,46.7
26115,52.4
26117,49.2
26119,46.0
26121,49.8
26123,48.6
26125,50.4
26127,48.8
26129,46.9
26131,43.0
26133,47.1
26135,46.1
26137,45.3
26139,50.3
26141,46.2
26143,46.8
26145,50.3
26147,50.8
26149,50.9
26151,49.0
26153,44.1
26155,50.1
26157,49.5
26159,51.3
26161,50.6
26163,51.9
26165,47.0
27001,43.2
27003,47.4
27005,43.7
27007,42.4
27009,45.6
27011,47.0
27013,48.3
27015,48.2
27017,42.4
27019,47.8
27021,43.8
27023,47.5
27025,46.9
27027,45.3
27029,42.5
27031,38.6
27033,47.3
27035,44.3
27037,48.3
27039,46.9
27041,44.8
27043,48.2
27045,46.9
27047,47.6
27049,47.6
27051,45.9
27053,47.9
27055,48.5
27057,43.4
27059,46.6
27061,42.0
27063,47.3
27065,45.3
27067,46.5
27069,43.1
27071,41.5
27073,47.5
27075,39.8
27077,41.3
27079,48.0
27081,46.5
27083,47.6
27085,47.4
27087,43.1
27089,42.9
27091,48.0
27093,46.5
27095,45.3
27097,45.1
27099,47.0
27101,47.0
27103,48.1
27105,47.2
27107,44.4
27109,46.9
27111,44.8
27113,42.8
27115,44.4
27117,47.0
27119,43.7
27121,45.6
27123,47.9
27125,43.2
27127,48.1
27129,47.8
27131,47.9
27133,48.0
27135,42.0
27137,40.9
27139,48.3
27141,46.4
27143,47.9
27145,45.5
27147,47.6
27149,46.2
27151,46.8
27153,44.7
27155,46.8
27157,47.7
27159,44.5
27161,48.1
27163,47.7
27165,48.1
27167,46.2
27169,48.1
27171,46.8
27173,47.7
28001,67.3
28003,62.2
28005,67.6
28007,65.3
28009,62.9
28011,65.1
28013,64.6
28015,65.2
28017,64.5
28019,64.7
28021,67.5
28023,66.3
28025,65.3
28027,64.8
28029,66.9
28031,66.8
28033,63.9
28035,67.6
28037,67.1
28039,67.8
28041,67.6
28043,64.9
28045,68.6
28047,67.9
28049,67.2
28051,66.1
28053,66.7
28055,67.4
28057,63.6
28059,68.3
28061,66.2
28063,67.1
28065,67.0
28067,66.9
28069,65.2
28071,63.9
28073,67.6
28075,65.7
28077,67.4
28079,65.5
28081,64.0
28083,66.0
28085,66.9
28087,65.4
28089,66.5
28091,67.7
28093,63.4
28095,64.4
28097,64.3
28099,65.0
28101,65.7
28103,65.5
28105,65.6
28107,64.3
28109,68.1
28111,67.6
28113,67.9
28115,63.9
28117,62.9
28119,64.8
28121,66.7
28123,65.9
28125,67.2
28127,66.8
28129,66.3
28131,67.3
28133,65.7
28135,65.2
28137,63.8
28139,62.6
28141,62.3
28143,64.1
28145,63.5
28147,67.8
28149,68.0
28151,66.2
28153,66.8
28155,64.6
28157,67.6
28159,65.0
28161,64.4
28163,67.1
29001,54.4
29003,55.3
29005,54.9
29007,56.2
29009,59.1
29011,59.0
29013,58.3
29015,58.2
29017,58.2
29019,57.0
29021,56.2
29023,60.2
29025,55.6
29027,57.1
29029,58.9
29031,58.8
29033,56.2
29035,58.7
29037,57.7
29039,58.9
29041,56.6
29043,58.1
29045,54.2
29047,56.9
29049,55.6
29051,58.0
29053,57.2
29055,57.1
29057,59.1
29059,57.8
29061,54.9
29063,54.8
29065,57.4
29067,57.9
29069,62.1
29071,57.5
29073,57.2
29075,54.3
29077,58.5
29079,54.9
29081,54.1
29083,58.4
29085,58.1
29087,55.6
29089,57.0
29091,58.9
29093,56.7
29095,57.3
29097,59.6
29099,58.5
29101,57.8
29103,54.2
29105,58.1
29107,56.9
29109,58.7
29111,54.6
29113,57.0
29115,55.7
29117,55.6
29119,60.3
29121,55.4
29123,57.0
29125,58.1
29127,55.2
29129,53.5
29131,58.9
29133,60.1
29135,57.4
29137,55.8
29139,56.9
29141,57.8
29143,61.2
29145,59.9
29147,54.4
29149,59.7
29151,57.8
29153,59.0
29155,62.5
29157,58.0
29159,57.4
29161,58.3
29163,56.4
29165,57.1
29167,58.4
29169,59.1
29171,53.2
29173,55.8
29175,56.4
29177,56.4
29179,57.3
29181,59.6
29183,57.9
29185,58.5
29186,57.9
29187,57.0
29189,58.5
29195,56.9
29197,53.7
29199,53.8
29201,59.7
29203,58.6
29205,54.7
29207,60.3
29209,59.0
